(abort) (tailText=null; typeText='UIEvent'; priority=50.0; typeGreyed)
(dragend) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
(dragenter) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
(dragleave) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
(dragover) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
(dragstart) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
(drop) (tailText=null; typeText='DragEvent'; priority=50.0; typeGreyed)
(durationchange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(emptied) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(ended) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(error) (tailText=null; typeText='ErrorEvent'; priority=50.0; typeGreyed)
(focus) (tailText=null; typeText='FocusEvent'; priority=50.0; typeGreyed)
(focusin) (tailText=null; typeText='FocusEvent'; priority=50.0; typeGreyed)
(focusout) (tailText=null; typeText='FocusEvent'; priority=50.0; typeGreyed)
(formdata) (tailText=null; typeText='FormDataEvent'; priority=50.0; typeGreyed)
(fullscreenchange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(fullscreenerror) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(gotpointercapture) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(input) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(invalid) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(keydown) (tailText=null; typeText='KeyboardEvent'; priority=50.0; typeGreyed)
(keyup) (tailText=null; typeText='KeyboardEvent'; priority=50.0; typeGreyed)
(load) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(loadeddata) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(loadedmetadata) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(loadstart) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(lostpointercapture) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(message) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(mousedown) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mouseenter) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mouseleave) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mousemove) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mouseout) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mouseover) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mouseup) (tailText=null; typeText='MouseEvent'; priority=50.0; typeGreyed)
(mozfullscreenchange) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(mozfullscreenerror) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(mozpointerlockchange) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(mozpointerlockerror) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(paste) (tailText=null; typeText='ClipboardEvent'; priority=50.0; typeGreyed)
(pause) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(play) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(playing) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(pointercancel) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointerdown) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointerenter) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointerleave) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointermove) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointerout) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointerover) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(pointerup) (tailText=null; typeText='PointerEvent'; priority=50.0; typeGreyed)
(progress) (tailText=null; typeText='ProgressEvent'; priority=50.0; typeGreyed)
(ratechange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(reset) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(resize) (tailText=null; typeText='UIEvent'; priority=50.0; typeGreyed)
(scroll) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(scrollend) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(search) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(securitypolicyviolation) (tailText=null; typeText='SecurityPolicyViolationEvent'; priority=50.0; typeGreyed)
(seeked) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(seeking) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(select) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(selectionchange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(selectstart) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(slotchange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(stalled) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(submit) (tailText=null; typeText='SubmitEvent'; priority=50.0; typeGreyed)
(suspend) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(timeupdate) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(toggle) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(touchcancel) (tailText=null; typeText='TouchEvent'; priority=50.0; typeGreyed)
(touchend) (tailText=null; typeText='TouchEvent'; priority=50.0; typeGreyed)
(touchmove) (tailText=null; typeText='TouchEvent'; priority=50.0; typeGreyed)
(touchstart) (tailText=null; typeText='TouchEvent'; priority=50.0; typeGreyed)
(transitioncancel) (tailText=null; typeText='TransitionEvent'; priority=50.0; typeGreyed)
(transitionend) (tailText=null; typeText='TransitionEvent'; priority=50.0; typeGreyed)
(transitionrun) (tailText=null; typeText='TransitionEvent'; priority=50.0; typeGreyed)
(transitionstart) (tailText=null; typeText='TransitionEvent'; priority=50.0; typeGreyed)
(volumechange) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(waiting) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(webglcontextcreationerror) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(webglcontextlost) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(webglcontextrestored) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(webkitanimationend) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(webkitanimationiteration) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(webkitanimationstart) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(webkitfullscreenchange) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(webkitfullscreenerror) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(webkittransitionend) (tailText=null; typeText='Event'; priority=50.0; typeGreyed)
(wheel) (tailText=null; typeText='WheelEvent'; priority=50.0; typeGreyed)
(beforematch) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(pointerrawupdate) (tailText=null; typeText=null; priority=50.0; typeGreyed)
(pan) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pancancel) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pandown) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(panend) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(panleft) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(panmove) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(panright) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(panstart) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(panup) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinch) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinchcancel) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinchend) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinchin) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinchmove) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinchout) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pinchstart) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(press) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(pressup) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(rotate) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(rotatecancel) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(rotateend) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(rotatemove) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(rotatestart) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(swipe) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(swipedown) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(swipeleft) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(swiperight) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(swipeup) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
(tap) (tailText=null; typeText='HammerInput'; priority=50.0; typeGreyed)
[accessKey] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[classList] (tailText=null; typeText=null; priority=50.0; typeGreyed)
[className] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[class] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[contentEditable] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[dir] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[draggable] (tailText=null; typeText='boolean'; priority=50.0; typeGreyed)
[hidden] (tailText=null; typeText='boolean'; priority=50.0; typeGreyed)
[id] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[innerHTML] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[innerHtml] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[innerText] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[lang] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[outerHTML] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[outerText] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[scrollLeft] (tailText=null; typeText='number'; priority=50.0; typeGreyed)
[scrollTop] (tailText=null; typeText='number'; priority=50.0; typeGreyed)
[slot] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[spellcheck] (tailText=null; typeText='boolean'; priority=50.0; typeGreyed)
[style] (tailText=null; typeText=null; priority=50.0; typeGreyed)
[tabIndex] (tailText=null; typeText='number'; priority=50.0; typeGreyed)
[tabindex] (tailText=null; typeText='number'; priority=50.0; typeGreyed)
[textContent] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[title] (tailText=null; typeText='string'; priority=50.0; typeGreyed)
[translate] (tailText=null; typeText='boolean'; priority=50.0; typeGreyed)
i18n (tailText=null; typeText=null; priority=50.0; typeGreyed)
my-customer (tailText=null; typeText=null; priority=50.0; typeGreyed)
ngNonBindable (tailText=null; typeText=null; priority=50.0; typeGreyed)
ngProjectAs (tailText=null; typeText=null; priority=50.0; typeGreyed)
(@ (tailText=null; typeText=null; priority=10.0; typeGreyed)
(keydown. (tailText=null; typeText=null; priority=10.0; typeGreyed)
(keyup. (tailText=null; typeText=null; priority=10.0; typeGreyed)
i18n- (tailText=null; typeText=null; priority=10.0; typeGreyed)
ngCspNonce (tailText=null; typeText=null; priority=10.0; typeGreyed)
ngSkipHydration (tailText=null; typeText=null; priority=10.0; typeGreyed)
(cancel) (tailText=null; typeText='Event'; priority=0.0; strikeout; typeGreyed)
(keypress) (tailText=null; typeText='KeyboardEvent'; priority=0.0; strikeout; typeGreyed)
(mousewheel) (tailText=null; typeText=null; priority=0.0; strikeout; typeGreyed)
(show) (tailText=null; typeText=null; priority=0.0; strikeout; typeGreyed)
# (tailText=null; typeText=null; priority=0.0; typeGreyed)
[attr. (tailText=null; typeText=null; priority=0.0; typeGreyed)
[class. (tailText=null; typeText=null; priority=0.0; typeGreyed)
[style. (tailText=null; typeText=null; priority=0.0; typeGreyed)
about (tailText=null; typeText=null; priority=0.0)
accesskey (tailText=null; typeText=null; priority=0.0)
align (tailText=null; typeText=null; priority=0.0)
autocapitalize (tailText=null; typeText=null; priority=0.0)
autofocus (tailText=null; typeText=null; priority=0.0)
bind- (tailText=null; typeText=null; priority=0.0; typeGreyed)
bindon- (tailText=null; typeText=null; priority=0.0; typeGreyed)
class (tailText=null; typeText=null; priority=0.0)
content (tailText=null; typeText=null; priority=0.0)
contenteditable (tailText=null; typeText=null; priority=0.0)
data- (tailText=null; typeText=null; priority=0.0; typeGreyed)
datafld (tailText=null; typeText=null; priority=0.0)
dataformatas (tailText=null; typeText=null; priority=0.0)
datasrc (tailText=null; typeText=null; priority=0.0)
datatype (tailText=null; typeText=null; priority=0.0)
dir (tailText=null; typeText=null; priority=0.0)
draggable (tailText=null; typeText=null; priority=0.0)
enterkeyhint (tailText=null; typeText=null; priority=0.0)
hidden (tailText=null; typeText=null; priority=0.0)
id (tailText=null; typeText=null; priority=0.0)
inert (tailText=null; typeText=null; priority=0.0)
inlist (tailText=null; typeText=null; priority=0.0)
inputmode (tailText=null; typeText=null; priority=0.0)
is (tailText=null; typeText=null; priority=0.0)
itemid (tailText=null; typeText=null; priority=0.0)
itemprop (tailText=null; typeText=null; priority=0.0)
itemref (tailText=null; typeText=null; priority=0.0)
itemscope (tailText=null; typeText=null; priority=0.0)
itemtype (tailText=null; typeText=null; priority=0.0)
lang (tailText=null; typeText=null; priority=0.0)
nonce (tailText=null; typeText=null; priority=0.0)
on- (tailText=null; typeText=null; priority=0.0; typeGreyed)
prefix (tailText=null; typeText=null; priority=0.0)
property (tailText=null; typeText=null; priority=0.0)
ref- (tailText=null; typeText=null; priority=0.0; typeGreyed)
rel (tailText=null; typeText=null; priority=0.0)
resource (tailText=null; typeText=null; priority=0.0)
rev (tailText=null; typeText=null; priority=0.0)
role (tailText=null; typeText=null; priority=0.0)
slot (tailText=null; typeText=null; priority=0.0)
spellcheck (tailText=null; typeText=null; priority=0.0)
style (tailText=null; typeText=null; priority=0.0)
tabindex (tailText=null; typeText=null; priority=0.0)
title (tailText=null; typeText=null; priority=0.0)
translate (tailText=null; typeText=null; priority=0.0)
typeof (tailText=null; typeText=null; priority=0.0)
vocab (tailText=null; typeText=null; priority=0.0)
xml:base (tailText=null; typeText=null; priority=0.0)
xml:lang (tailText=null; typeText=null; priority=0.0)
xml:space (tailText=null; typeText=null; priority=0.0)
